Date,Open,High,Low,Close,Adj Close,Volume
2015-06-09,165.339996,166.020004,163.369995,165.679993,141.405350,3395900
2015-06-10,166.490005,169.389999,166.059998,168.919998,144.170639,4680500
2015-06-11,169.259995,170.440002,168.539993,168.779999,144.051117,3464000
2015-06-12,168.229996,168.300003,166.690002,166.990005,142.523392,3065100
2015-06-15,166.990005,166.990005,164.250000,166.259995,141.900360,4245700
2015-06-16,166.330002,167.399994,165.910004,166.839996,142.395416,3249800
2015-06-17,167.000000,167.850006,166.100006,167.169998,142.677048,2863000
2015-06-18,167.050003,168.720001,167.050003,168.250000,143.598816,3330900
2015-06-19,167.619995,168.419998,166.770004,166.990005,142.523392,7074000
2015-06-22,167.649994,168.339996,167.199997,167.729996,143.154968,2335800
2015-06-23,168.380005,169.970001,167.570007,168.619995,143.914581,3701600
2015-06-24,168.710007,168.839996,166.830002,166.970001,142.506332,3548100
2015-06-25,167.800003,168.130005,166.080002,166.080002,141.746735,2408900
2015-06-26,166.229996,166.809998,165.229996,165.460007,141.217590,8946000
2015-06-29,163.919998,165.350006,162.889999,162.970001,139.092377,3314700
2015-06-30,163.990005,164.000000,162.119995,162.660004,138.827820,3597300
2015-07-01,163.970001,165.610001,163.600006,164.490005,140.389709,3214500
2015-07-02,165.050003,165.320007,164.419998,165.089996,140.901779,2852700
2015-07-06,163.830002,165.229996,163.520004,164.729996,140.594528,3079800
2015-07-07,164.940002,165.350006,162.229996,165.000000,140.824982,3549900
2015-07-08,164.000000,164.940002,162.679993,163.160004,139.254562,2776300
2015-07-09,165.339996,165.509995,163.699997,163.850006,139.843475,4199700
2015-07-10,165.660004,167.399994,165.520004,166.949997,142.489273,4538300
2015-07-13,167.929993,169.889999,167.520004,169.380005,144.563232,4229000
2015-07-14,169.429993,169.539993,168.240005,168.610001,143.906082,3025300
2015-07-15,168.479996,169.270004,168.000000,168.529999,143.837753,1998000
2015-07-16,169.470001,171.089996,169.160004,171.000000,145.945892,3529900
2015-07-17,170.330002,172.520004,170.100006,172.509995,147.234650,4356400
2015-07-20,172.789993,173.779999,172.139999,173.220001,147.840607,7377800
2015-07-21,164.339996,166.350006,162.020004,163.070007,139.177750,13752300
2015-07-22,162.729996,163.070007,159.699997,160.350006,136.856262,7181800
2015-07-23,160.270004,162.750000,159.830002,161.729996,138.034058,5034200
2015-07-24,161.289993,161.929993,159.410004,159.750000,136.344208,3778200
2015-07-27,159.000000,160.179993,158.600006,159.070007,135.763794,3706200
2015-07-28,159.910004,160.190002,158.500000,160.050003,136.600235,2721000
2015-07-29,160.000000,161.500000,159.389999,161.089996,137.487839,3378400
2015-07-30,160.500000,161.399994,159.750000,160.960007,137.376907,1994700
2015-07-31,161.399994,162.059998,160.630005,161.990005,138.256012,3580200
2015-08-03,161.699997,161.850006,157.899994,158.710007,135.456528,4615700
2015-08-04,158.399994,158.820007,156.869995,157.600006,134.509186,5260600
2015-08-05,159.100006,159.539993,157.479996,157.899994,134.765198,3472800
2015-08-06,157.130005,157.539993,156.179993,156.320007,134.524261,3004800
2015-08-07,155.889999,156.250000,154.339996,155.119995,133.491577,3794900
2015-08-10,156.770004,157.470001,156.119995,156.750000,134.894302,4613400
2015-08-11,155.960007,155.990005,154.860001,155.509995,133.827225,3143300
2015-08-12,154.259995,156.520004,153.949997,156.160004,134.386581,3560300
2015-08-13,156.059998,156.089996,154.320007,155.070007,133.448593,2533400
2015-08-14,155.000000,156.210007,154.580002,155.750000,134.033737,3220300
2015-08-17,155.199997,156.690002,154.699997,156.309998,134.515686,2249600
2015-08-18,155.509995,156.520004,155.250000,156.009995,134.257507,2018300
2015-08-19,155.149994,155.669998,153.410004,153.940002,132.476105,4206400
2015-08-20,152.740005,153.910004,152.500000,152.660004,131.374603,4011500
2015-08-21,151.500000,153.190002,148.699997,148.850006,128.095840,7362100
2015-08-24,143.470001,147.759995,143.000000,143.470001,123.465965,10189700
2015-08-25,146.940002,147.110001,140.619995,140.960007,121.305939,7073200
2015-08-26,144.089996,146.979996,142.139999,146.699997,126.245590,6221800
2015-08-27,148.500000,148.970001,145.660004,148.539993,127.829018,4976600
2015-08-28,147.750000,148.199997,147.179993,147.979996,127.347145,4076300
2015-08-31,147.380005,148.399994,146.259995,147.889999,127.269669,4062600
2015-09-01,144.910004,144.979996,141.850006,142.679993,122.786118,5272000
